Designator,Mid X,Mid Y,Rotation,Layer
C1,261.75,-115.55,90.0,top
C10,264.3,-106.6,0.0,top
C11,248.8,-114.6,270.0,top
C12,256.0,-118.0,270.0,top
C13,246.8,-112.8,180.0,top
C2,256.2,-90.45,180.0,top
C3,252.7,-116.25,90.0,top
C4,261.4,-125.25,180.0,top
C5,261.7,-118.8,270.0,top
C6,262.6,-109.3,90.0,top
C7,261.9,-112.0,90.0,top
C8,279.6,-117.8,0.0,top
C9,245.75,-101.05,180.0,top
D1,245.625,-107.3,0.0,top
GND1,257.85,-131.5,0.0,top
J1,278.325,-106.6,0.0,top
R1,249.975,-107.45,0.0,top
R3,265.0,-100.925,270.0,top
R4,254.6,-98.0,180.0,top
R5,245.925,-110.4,180.0,top
RX1,246.4,-131.4,0.0,top
SW1,245.8,-92.75,0.0,top
TX1,251.95,-131.4,0.0,top
U1,257.535,-103.85,180.0,top
U2,257.35,-112.3,180.0,top
U3,267.7,-123.5,0.0,top
VCC1,264.7,-131.75,0.0,top
Y1,264.8,-112.2,90.0,top
